English;Spanish;German;Japanese;Chinese (Simplified);Chinese (Traditional);Korean;Portuguese;French;Italian;Dutch;Swedish;Norwegian;Danish;Hindi;Urdu;Russian;Arabic;Category
I don't want to bother you.;No quiero molestarte.;Ich will dich nicht stören.;私はあなたに迷惑をかけたくありません。;我不想打扰你。;我不想打擾你。;난 당신을 귀찮게하고 싶지 않아.;Eu não quero incomodá-lo.;Je ne veux pas te déranger.;Non voglio disturbarti.;Ik wil je niet lastig vallen.;Jag vill inte störa dig.;Jeg vil ikke plage deg.;Jeg vil ikke genere dig.;मैं आपको परेशान नहीं करना चाहता।;میں تمہیں پریشان نہیں کرنا چاہتا۔;Я не хочу вас беспокоить.;لا اريد ان ازعجك.;Everyday Lingo
I feel good.;Me siento bien.;Ich fühle mich gut.;良い感じ。;我感觉很好。;我感覺很好。;나는 기분이 좋다.;Eu me sinto bem.;Je me sens bien.;Mi sento bene.;Ik voel mij goed.;Jag mår bra.;Jeg føler meg bra.;Jeg har det godt.;मैं अच्छा महसूस कर रहा हूँ।;مجھے اچھا محسوس ہورہا ہے.;Я чувствую себя хорошо.;أشعر أنني بحالة جيدة.;Everyday Lingo
If you need my help, please let me know.;Si necesita mi ayuda, por favor hágamelo saber.;Wenn Sie meine Hilfe benötigen, lassen Sie es mich bitte wissen.;私の助けが必要な場合は、お知らせください。;如果你需要我的帮助，请告诉我。;如果你需要我的幫助，請告訴我。;내 도움이 필요하면 알려주세요.;Se precisar da minha ajuda, por favor me avise.;Si vous avez besoin de mon aide, faites-le moi savoir.;Se hai bisogno del mio aiuto, per favore fammelo sapere.;Als je mijn hulp nodig hebt, laat het me dan weten.;Om du behöver min hjälp, vänligen meddela mig.;Hvis du trenger min hjelp, vennligst gi meg beskjed.;Hvis du har brug for min hjælp, så lad mig det vide.;अगर आपको मेरी मदद की ज़रूरत है, तो कृपया मुझे बताएं।;اگر آپ کو میری مدد کی ضرورت ہے تو براہ کرم مجھے بتائیں۔;Если вам нужна моя помощь, пожалуйста, дайте мне знать.;إذا كنت بحاجة إلى مساعدتي ، يرجى إعلامي.;Everyday Lingo
I get off of work at 6.;Salgo del trabajo a las 6.;Ich komme um 6 von der Arbeit.;私は6時に仕事を休みます。;我6点下班。;我6點下班。;6시에 퇴근합니다.;Saio do trabalho às 6.;Je quitte le travail à 6h.;Esco dal lavoro alle 6.;Ik ben om 6 uur klaar met werken.;Jag går från jobbet vid 6.;Jeg går fra jobb kl 6.;Jeg har fri fra arbejde kl 6.;मैं 6 बजे काम से निकल जाता हूँ।;میں 6 بجے کام سے نکلتا ہوں۔;Я заканчиваю работу в 6.;أنزل من العمل في السادسة.;Everyday Lingo
I have a headache.;Me duele la cabeza.;Ich habe Kopfschmerzen.;頭痛がします。;我头疼。;我頭疼。;두통이 있습니다.;Estou com dor de cabeça.;J'ai mal à la tête.;Ho mal di testa.;Ik heb hoofdpijn.;Jag har huvudvärk.;Jeg har hodepine.;Jeg har hovedpine.;मुझे सिर दर्द है।;میرے سر میں درد ہے.;У меня болит голова.;عندى صداع.;Everyday Lingo
I hope you and your wife have a nice trip.;Espero que usted y su esposa tengan un buen viaje.;Ich wünsche Ihnen und Ihrer Frau eine gute Reise.;あなたとあなたの奥様が良い旅をすることを願っています。;我希望你和你的妻子旅途愉快。;我希望你和你的妻子旅途愉快。;나는 당신과 당신의 아내가 좋은 여행을 바랍니다.;Espero que você e sua esposa tenham uma boa viagem.;J'espère que vous et votre femme faites un bon voyage.;Spero che tu e tua moglie abbiate fatto buon viaggio.;Ik wens jou en je vrouw een goede reis.;Jag hoppas att du och din fru får en trevlig resa.;Jeg håper du og kona di får en fin tur.;Jeg håber du og din kone får en god tur.;मुझे उम्मीद है कि आपकी और आपकी पत्नी की यात्रा अच्छी रही होगी।;مجھے امید ہے کہ آپ اور آپ کی اہلیہ کا سفر اچھا گزرے گا۔;Я надеюсь, что вы и ваша жена приятного путешествия.;أتمنى لك ولزوجتك رحلة سعيدة.;Everyday Lingo
I know.;Lo sé.;Ich weiss.;知っている。;我知道。;我知道。;알아요.;Eu sei.;Je sais.;Lo so.;Ik weet.;Jag vet.;Jeg vet.;Jeg ved.;मुझे पता है।;میں جانتا ہوں.;Я знаю.;أنا أعرف.;Everyday Lingo
I like her.;Ella me gusta.;Ich mag sie.;私は彼女が好きです。;我喜欢她。;我喜歡她。;나는 그녀가 좋아.;Eu gosto dela.;Je l'aime bien.;Lei mi piace.;Ik vind haar aardig.;Jag gillar henne.;Jeg liker henne.;Jeg kan lide hende.;मैं उसे पसंद करता हूँ।;میں اسے پسند کرتا ھوں.;Она мне нравится.;انا معجب بها.;Everyday Lingo
I'll call you when I leave.;Te llamaré cuando me vaya.;Ich rufe dich an, wenn ich gehe.;出かけたら電話します。;我离开时会打电话给你。;我離開時會打電話給你。;내가 떠날 때 전화할게.;Te ligo quando sair.;Je t'appellerai quand je partirai.;Ti chiamo quando esco.;Ik bel je als ik weg ben.;Jag ringer dig när jag går.;Jeg ringer deg når jeg drar.;Jeg ringer til dig, når jeg går.;जब मैं जाऊंगा तो तुम्हें फोन करूंगा।;جب میں نکلوں گا تو میں تمہیں کال کروں گا۔;Я позвоню тебе, когда буду уходить.;سأتصل بك عندما أغادر.;Everyday Lingo
I'll come back later.;Volveré más tarde.;Ich komme später wieder.;また来ます。;我以后会回来的。;我以後會回來的。;나중에 다시 올게요.;Vou voltar mais tarde.;Je reviendrai plus tard.;Tornerò più tardi.;Ik kom later terug.;Jag kommer tillbaka senare.;Jeg kommer tilbake senere.;Jeg vender tilbage senere.;मैं बाद में वापस आऊंगा।;میں بعد میں واپس آؤں گا۔;Я вернусь позже.;سأعود في وقت لاحق;Everyday Lingo
I'll pay.;Pagaré.;Ich bezahle.;私が払います。;我来付钱。;我來付錢。;내가 지불할게.;Eu vou pagar.;Je payerai.;Pagherò.;Ik zal betalen.;Jag betalar.;Jeg vil betale.;Jeg betaler.;मैं भुगतान करूंगा।;میں ادا کر دوں گا.;Я заплачу.;سأدفع.;Everyday Lingo
I'll take it.;Me lo llevo.;Ich nehme es.;買います。;我要买它。;我要買它。;내가 할게요.;Eu vou levar.;Je le prends.;Lo prendo.;Ik neem het.;Jag tar det.;Jeg tar det.;Jeg tager det.;मैं इसे ले जाऊँगा।;میں لے لوں گا۔;Я возьму это.;أنا أعتبر.;Everyday Lingo
I'll take you to the bus stop.;Te llevaré a la parada del autobús.;Ich bringe dich zur Bushaltestelle.;バス停までお送りします。;我送你去公共汽车站。;我送你去公共汽車站。;버스 정류장까지 모셔다 드리겠습니다.;Eu te levo até o ponto de ônibus.;Je vais t'emmener à l'arrêt de bus.;Ti accompagno alla fermata dell'autobus.;Ik breng je naar de bushalte.;Jag tar dig till busshållplatsen.;Jeg tar deg til bussholdeplassen.;Jeg tager dig til busstoppestedet.;मैं तुम्हें बस स्टॉप तक ले चलता हूँ।;میں تمہیں بس اسٹاپ پر لے جاؤں گا۔;Я отвезу тебя на автобусную остановку.;سآخذك إلى محطة الحافلات.;Everyday Lingo
I lost my watch.;Perdí mi reloj.;Ich habe meine Uhr verloren.;時計をなくしました。;我丢了手表。;我丟了手錶。;시계를 잃어버렸습니다.;Perdi meu relógio.;J'ai perdu ma montre.;Ho perso l'orologio.;Ik ben mijn horloge kwijt.;Jag tappade min klocka.;Jeg mistet klokken.;Jeg mistede mit ur.;मैंने अपनी घड़ी खो दी।;میں نے اپنی گھڑی کھو دی۔;Я потерял часы.;لقد فقدت ساعتي.;Everyday Lingo
I love you.;Te amo.;Ich liebe dich.;愛してます。;我爱你。;我愛你。;사랑해요.;Eu te amo.;Je t'aime.;Ti amo.;Ik houd van je.;Jag älskar dig.;Jeg elsker deg.;Jeg elsker dig.;मुझे तुमसे प्यार है।;میں تم سے پیار کرتا ہوں.;Я тебя люблю.;أحبك.;Everyday Lingo
I'm an American.;Soy americano.;Ich bin Amerikaner.;私はアメリカ人です。;我是美国人。;我是美國人。;나는 미국인입니다.;Eu sou um americano.;Je suis Américain.;Sono un americano.;Ik ben een Amerikaan.;Jag är amerikan.;Jeg er amerikaner.;Jeg er amerikaner.;मैं एक अमेरिकन हूँ।;میں ایک امریکی ہوں۔;Я американец.;انا امريكي.;Everyday Lingo
I'm cleaning my room.;Estoy limpiando mi habitación.;Ich räume mein Zimmer auf.;私は自分の部屋を掃除しています。;我正在打扫我的房间。;我正在打掃我的房間。;나는 내 방을 청소하고 있다.;Estou arrumando meu quarto.;Je nettoie ma chambre.;Sto pulendo la mia stanza.;Ik maak mijn kamer schoon.;Jag städar mitt rum.;Jeg rydder rommet mitt.;Jeg gør mit værelse rent.;मैं अपने कमरे की सफाई कर रहा हूं।;میں اپنا کمرہ صاف کر رہا ہوں۔;Я убираюсь в своей комнате.;انا انظف غرفتي.;Everyday Lingo
I'm cold.;Tengo frío.;Es ist mir kalt.;寒いです。;我很冷。;我很冷。;나는 추워.;Estou com frio.;J'ai froid.;Ho freddo.;Ik heb het koud.;Jag är kall.;Jeg er kald.;Jeg fryser.;मुझे ठंड लग रही है।;مجھے ٹھنڈ لگ رہی ہے۔;Мне холодно.;أنا بردان.;Everyday Lingo
I'm coming to pick you up.;Vengo a recogerte.;Ich komme dich abholen.;迎えに来ます。;我来接你了。;我來接你了。;데리러 갑니다.;Eu estou vindo para pegar você.;Je viens te chercher.;Sto venendo a prenderti.;Ik kom je ophalen.;Jag kommer och hämtar dig.;Jeg kommer for å hente deg.;Jeg kommer for at hente dig.;मैं तुम्हें लेने आ रहा हूं।;میں تمہیں لینے آ رہا ہوں۔;Я приду, чтобы забрать тебя.;أنا قادم لاصطحابك.;Everyday Lingo
I'm going to leave.;Me voy a ir.;Ich werde gehen.;私は去るつもりです。;我要离开了。;我要走了。;나는 떠날거야.;Vou-me embora.;Je vais partir.;me ne vado.;Ik ga vertrekken.;Jag går nu.;Jeg skal dra.;Jeg tager afsted.;में छोड़ने जा रहा हूँ।;میں چھوڑنے جا رہا ہوں۔;Я собираюсь уйти.;انا ذاهب للمغادرة.;Everyday Lingo
I'm good, and you?;¿Estoy bien, y tú?;Mir geht es gut, und dir?;私はいい感じです、あなたは？;我很好你呢？;我很好你呢？;나는 좋아 너는?;Estou bem e você?;Je vais bien et toi?;Sto bene, e tu?;Met mij gaat het goed en met jou?;Jag mår bra och du?;Jeg har det bra og du?;Jeg har det godt, og dig?;मैं ठीक हूँ और आप?;میں اچھا ہوں اور تم؟;Я хорошо а ты?;انا بخير وأنت؟;Everyday Lingo
I'm happy.;Estoy feliz.;Ich bin froh.;私は満足しています。;我很高兴。;我很高興。;나는 행복하다.;Eu estou feliz.;Je suis heureux.;Sono felice.;Ik ben gelukkig.;Jag är glad.;Jeg er glad.;Jeg er glad.;मैं खुश हूं।;میں خوش ہوں.;Я счастлив.;أنا سعيد.;Everyday Lingo
I'm hungry.;Tengo hambre.;Ich bin hungrig.;お腹が空きました。;我饿了。;我餓了。;배고파요.;Estou com fome.;J'ai faim.;Ho fame.;Ik heb honger.;Jag är hungrig.;Jeg er sulten.;Jeg er sulten.;मुझे भूख लगी है।;میں بھوکا ہوں.;Я голоден.;أنا جائع.;Everyday Lingo
I'm married.;Estoy casado.;Ich bin verheiratet.;私は結婚しています。;我已结婚。;我已結婚。;나 결혼 했어.;Eu sou casado.;Je suis marié.;Sono sposato.;Ik ben getrouwd.;Jag är gift.;Jeg er gift.;Jeg er gift.;मैं विवाहित हूँ।;میں شادی شدہ ہوں.;Я женат.;أنا متزوج.;Everyday Lingo
I'm not busy.;No estoy ocupado.;Ich bin nicht beschäftigt.;忙しくない。;我不忙。;我不忙。;나는 바쁘지 않다.;Eu não estou ocupado.;Je ne suis pas occupé.;Non sono occupato.;Ik ben niet bezig.;Jag är inte upptagen.;Jeg er ikke opptatt.;Jeg har ikke travlt.;मैं व्यस्त नहीं हूँ।;میں مصروف نہیں ہوں.;Я не занят.;انا لست مشغول.;Everyday Lingo
I'm not married.;No estoy casado.;Ich bin nicht verheiratet.;私は結婚していないよ。;我未婚。;我未婚。;안 했어요.;Eu não sou casado.;Je ne suis pas marié.;Non sono sposato.;Ik ben niet getrouwd.;Jag är inte gift.;Jeg er ikke gift.;Jeg er ikke gift.;मैं शादीशुदा नहीं हूँ।;میں شادی شدہ نہیں.;Я не женат.;لست متزوجا.;Everyday Lingo
I'm not ready yet.;No estoy listo todavía.;Ich bin noch nicht fertig.;まだ準備できていない。;我还没准备好。;我還沒準備好。;난 아직 준비가 안 됐어요.;Eu não estou pronto ainda.;Je ne suis pas encore prêt.;Non sono ancora pronto.;Ik ben nog niet klaar.;Jag är inte klar än.;Jeg er ikke klar ennå.;Jeg er ikke klar endnu.;मैं अब भी तैयार नहीं हूं।;میں ابھی تیار نہیں ہوں.;Я еще не готов.;أنا لست مستعدة بعد.;Everyday Lingo
I'm not sure.;No estoy seguro.;Ich bin mir nicht sicher.;わからない。;我不知道。;我不知道。;잘 모르겠습니다.;Eu não tenho certeza.;Je ne suis pas sûr.;Non sono sicuro.;Ik weet het niet zeker.;Jag är inte säker.;Jeg er ikke sikker.;Jeg er ikke sikker.;मुझे यकीन नहीं है।;مجھے یقین نہیں آرہا;Я не уверен.;لست متأكد.;Everyday Lingo
I'm sorry, we're sold out.;Lo siento, estamos agotados.;Es tut mir leid, wir sind ausverkauft.;申し訳ございません、完売いたしました。;对不起，我们卖完了。;對不起，我們賣完了。;죄송합니다. 품절되었습니다.;Desculpe, estamos esgotados.;Je suis désolé, nous sommes épuisés.;Mi dispiace, siamo esauriti.;Het spijt me, we zijn uitverkocht.;Jag är ledsen, vi är slutsålda.;Beklager, vi er utsolgt.;Jeg beklager, vi er udsolgt.;मुझे खेद है, हम बिक चुके हैं।;مجھے افسوس ہے، ہم بک چکے ہیں۔;Извините, мы распроданы.;أنا آسف ، لقد بيعنا.;Everyday Lingo
I'm thirsty.;Tengo sed.;Ich habe Durst.;喉が渇いた。;我口渴。;我口渴。;나는 목이 마르다.;Estou com sede.;J'ai soif.;Ho sete.;Ik heb dorst.;Jag är törstig.;Jeg er tørst.;Jeg er tørstig.;मुझे प्यास लगी है।;مجھے پیاس لگی ہے.;Я хочу пить.;عطشان.;Everyday Lingo
I'm very busy. I don't have time now.;Estoy muy ocupado. No tengo tiempo ahora.;Ich bin sehr beschäftigt. Ich habe jetzt keine Zeit.;私はとても忙しいです。今は時間がありません。;我很忙。我现在没有时间。;我很忙。我現在沒有時間。;나는 아주 바빠. 지금은 시간이 없어요.;Eu estou muito ocupado. Eu não tenho tempo agora.;Je suis très occupé. Je n'ai pas le temps maintenant.;Sono molto impegnato. Non ho tempo ora.;Ik heb het erg druk. Ik heb nu geen tijd.;Jag är väldigt upptagen. Jag har inte tid nu.;Jeg er veldig opptatt. Jeg har ikke tid nå.;Jeg har meget travlt. Jeg har ikke tid nu.;मैं बहुत व्यस्त हूँ। मेरे पास अभी समय नहीं है।;میں بہت مصروف ہوں. میرے پاس اب وقت نہیں ہے۔;Я очень занят. У меня сейчас нет времени.;أنا مشغول جدا. ليس لدي وقت الآن.;Everyday Lingo
I need to change clothes.;Necesito cambiarme de ropa.;Ich muss mich umziehen.;着替えが必要です。;我需要换衣服。;我需要換衣服。;옷을 갈아입어야 해요.;Eu preciso trocar de roupa.;Je dois changer de vêtements.;Devo cambiare i vestiti.;Ik moet me omkleden.;Jag måste byta kläder.;Jeg må skifte klær.;Jeg skal skifte tøj.;मुझे कपड़े बदलने की जरूरत है।;مجھے کپڑے بدلنے ہیں۔;Мне нужно переодеться.;أنا بحاجة لتغيير الملابس.;Everyday Lingo
